"entity";"Behavior";"Genotype";"Treatment";"AVG";"MIN";"MAX"
"P3525_N";"S/C";"Ts65Dn";"Saline";0.321076;0.262898;0.365539
"P38_N";"C/S";"Control";"Memantine";0.385032;0.294519;0.475771
"P38_N";"C/S";"Control";"Saline";0.361078;0.26559;0.451146
"P38_N";"C/S";"Ts65Dn";"Memantine";0.365921;0.289416;0.53693
"P38_N";"C/S";"Ts65Dn";"Saline";0.3001;0.22788;0.378262
"P38_N";"S/C";"Control";"Memantine";0.495466;0.390525;0.721936
"P38_N";"S/C";"Control";"Saline";0.470423;0.306433;0.702114
"P38_N";"S/C";"Ts65Dn";"Memantine";0.454612;0.340013;0.582503
"P38_N";"S/C";"Ts65Dn";"Saline";0.41975;0.308446;0.560567
"P70S6_N";"C/S";"Control";"Memantine";0.825618;0.34412;1.13468
"P70S6_N";"C/S";"Control";"Saline";0.991128;0.612931;1.67995
"P70S6_N";"C/S";"Ts65Dn";"Memantine";0.917523;0.599935;1.30008
"P70S6_N";"C/S";"Ts65Dn";"Saline";1.02431;0.686704;1.43482
"P70S6_N";"S/C";"Control";"Memantine";1.01747;0.767238;1.38108
"P70S6_N";"S/C";"Control";"Saline";0.915511;0.644921;1.27715
"P70S6_N";"S/C";"Ts65Dn";"Memantine";1.02506;0.735616;1.42119
"P70S6_N";"S/C";"Ts65Dn";"Saline";0.925287;0.632263;1.44017
"pAKT_N";"C/S";"Control";"Memantine";0.217631;0.173181;0.271232
"pAKT_N";"C/S";"Control";"Saline";0.195357;0.121;0.248833
"pAKT_N";"C/S";"Ts65Dn";"Memantine";0.21765;0.152432;0.281646
"pAKT_N";"C/S";"Ts65Dn";"Saline";0.203219;0.165286;0.259953
"pAKT_N";"S/C";"Control";"Memantine";0.223571;0.164693;0.314375
"pAKT_N";"S/C";"Control";"Saline";0.237634;0.184988;0.313444
"pAKT_N";"S/C";"Ts65Dn";"Memantine";0.261413;0.209581;0.33833
"pAKT_N";"S/C";"Ts65Dn";"Saline";0.243443;0.16235;0.353783
"pBRAF_N";"C/S";"Control";"Memantine";0.173349;0.136449;0.217034
"pBRAF_N";"C/S";"Control";"Saline";0.159381;0.107649;0.206712
"pBRAF_N";"C/S";"Ts65Dn";"Memantine";0.177181;0.130058;0.223585
"pBRAF_N";"C/S";"Ts65Dn";"Saline";0.160402;0.137561;0.209203
"pBRAF_N";"S/C";"Control";"Memantine";0.176853;0.122759;0.317066
"pBRAF_N";"S/C";"Control";"Saline";0.187094;0.154263;0.250504
"pBRAF_N";"S/C";"Ts65Dn";"Memantine";0.191204;0.151487;0.241664
"pBRAF_N";"S/C";"Ts65Dn";"Saline";0.182615;0.132654;0.23913
"pCAMKII_N";"C/S";"Control";"Memantine";3.27494;1.44424;5.25286
"pCAMKII_N";"C/S";"Control";"Saline";2.61518;1.3699;3.655
"pCAMKII_N";"C/S";"Ts65Dn";"Memantine";3.58685;1.3938;6.40485
"pCAMKII_N";"C/S";"Ts65Dn";"Saline";2.48016;1.344;4.78148
"pCAMKII_N";"S/C";"Control";"Memantine";4.90486;2.83397;6.94729
"pCAMKII_N";"S/C";"Control";"Saline";3.23144;2.14649;4.38302
"pCAMKII_N";"S/C";"Ts65Dn";"Memantine";4.73383;3.23057;6.46381
"pCAMKII_N";"S/C";"Ts65Dn";"Saline";4.1131;1.65496;7.10464
"pCASP9_N";"C/S";"Control";"Memantine";1.44076;0.853176;1.71636
"pCASP9_N";"C/S";"Control";"Saline";1.68614;1.20772;2.58622
"pCASP9_N";"C/S";"Ts65Dn";"Memantine";1.4488;1.04318;1.84441
"pCASP9_N";"C/S";"Ts65Dn";"Saline";1.5093;1.0662;2.10632
"pCASP9_N";"S/C";"Control";"Memantine";1.71239;1.19209;2.12193
"pCASP9_N";"S/C";"Control";"Saline";1.51867;1.20059;1.81196
"pCASP9_N";"S/C";"Ts65Dn";"Memantine";1.66111;1.36719;1.88248
"pCASP9_N";"S/C";"Ts65Dn";"Saline";1.6114;1.2756;2.27672
"pCFOS_N";"C/S";"Control";"Memantine";0.116178;0.0854191;0.160804
"pCFOS_N";"C/S";"Control";"Saline";0.133084;0.114912;0.179427
"pCFOS_N";"C/S";"Ts65Dn";"Memantine";0.124588;0.0980069;0.168393
"pCFOS_N";"C/S";"Ts65Dn";"Saline";0.121971;0.090677;0.168789
"pCFOS_N";"S/C";"Control";"Memantine";0.148164;0.120862;0.205876
"pCFOS_N";"S/C";"Control";"Saline";0.131207;0.0987697;0.190115
"pCFOS_N";"S/C";"Ts65Dn";"Memantine";0.129282;0.0987696;0.189606
"pCFOS_N";"S/C";"Ts65Dn";"Saline";0.131499;0.0981679;0.196296
"pCREB_N";"C/S";"Control";"Memantine";0.194156;0.135135;0.277695
"pCREB_N";"C/S";"Control";"Saline";0.19177;0.112812;0.305773
"pCREB_N";"C/S";"Ts65Dn";"Memantine";0.205394;0.142963;0.266434
"pCREB_N";"C/S";"Ts65Dn";"Saline";0.209907;0.14545;0.306247
"pCREB_N";"S/C";"Control";"Memantine";0.187019;0.127401;0.23763
"pCREB_N";"S/C";"Control";"Saline";0.221965;0.165809;0.300761
"pCREB_N";"S/C";"Ts65Dn";"Memantine";0.224817;0.157626;0.287577
"pCREB_N";"S/C";"Ts65Dn";"Saline";0.226332;0.148097;0.304556
"pELK_N";"C/S";"Control";"Memantine";1.3745;0.812302;1.93279
"pELK_N";"C/S";"Control";"Saline";1.29017;0.852296;2.80592
"pELK_N";"C/S";"Ts65Dn";"Memantine";1.61067;1.14083;2.4151
"pELK_N";"C/S";"Ts65Dn";"Saline";1.51186;1.0787;2.32044
"pELK_N";"S/C";"Control";"Memantine";1.18667;0.806048;2.1929
"pELK_N";"S/C";"Control";"Saline";1.496;0.974123;6.11335
"pELK_N";"S/C";"Ts65Dn";"Memantine";1.30297;0.429032;1.5608
"pELK_N";"S/C";"Ts65Dn";"Saline";1.19914;0.720767;1.71571
"pERK_N";"C/S";"Control";"Memantine";0.644964;0.297737;1.1977
"pERK_N";"C/S";"Control";"Saline";0.570379;0.3747;1.24006
"pERK_N";"C/S";"Ts65Dn";"Memantine";0.851633;0.53905;1.39709
"pERK_N";"C/S";"Ts65Dn";"Saline";0.7089;0.411755;1.4371
"pERK_N";"S/C";"Control";"Memantine";0.351761;0.211908;0.457188
"pERK_N";"S/C";"Control";"Saline";0.329234;0.24388;0.407517
"pERK_N";"S/C";"Ts65Dn";"Memantine";0.352365;0.23035;0.543761
"pERK_N";"S/C";"Ts65Dn";"Saline";0.379005;0.223642;0.556248
"pGSK3B_N";"C/S";"Control";"Memantine";0.159737;0.0999759;0.200737
"pGSK3B_N";"C/S";"Control";"Saline";0.177931;0.136314;0.25321
"pGSK3B_N";"C/S";"Ts65Dn";"Memantine";0.170146;0.130038;0.205786
"pGSK3B_N";"C/S";"Ts65Dn";"Saline";0.169985;0.116247;0.211775
"pGSK3B_N";"S/C";"Control";"Memantine";0.139793;0.115036;0.162359
"pGSK3B_N";"S/C";"Control";"Saline";0.144939;0.125253;0.164249
"pGSK3B_N";"S/C";"Ts65Dn";"Memantine";0.147926;0.120329;0.17984
"pGSK3B_N";"S/C";"Ts65Dn";"Saline";0.168743;0.151078;0.191907
"pGSK3B_Tyr216_N";"C/S";"Control";"Memantine";0.883208;0.577397;1.00248
"pGSK3B_Tyr216_N";"C/S";"Control";"Saline";0.862718;0.606215;1.02395
"pGSK3B_Tyr216_N";"C/S";"Ts65Dn";"Memantine";0.896517;0.717577;1.00783
"pGSK3B_Tyr216_N";"C/S";"Ts65Dn";"Saline";0.858357;0.614027;1.02408
"pGSK3B_Tyr216_N";"S/C";"Control";"Memantine";0.824805;0.745526;0.880932
"pGSK3B_Tyr216_N";"S/C";"Control";"Saline";0.788112;0.691448;0.901373
"pGSK3B_Tyr216_N";"S/C";"Ts65Dn";"Memantine";0.854516;0.717061;0.968341
"pGSK3B_Tyr216_N";"S/C";"Ts65Dn";"Saline";0.917447;0.804332;1.0434
"pJNK_N";"C/S";"Control";"Memantine";0.297954;0.223113;0.369863
"pJNK_N";"C/S";"Control";"Saline";0.278697;0.174176;0.396267
"pJNK_N";"C/S";"Ts65Dn";"Memantine";0.28955;0.183253;0.384645
"pJNK_N";"C/S";"Ts65Dn";"Saline";0.293316;0.214774;0.422774
"pJNK_N";"S/C";"Control";"Memantine";0.328423;0.229834;0.424279
"pJNK_N";"S/C";"Control";"Saline";0.314394;0.236054;0.376247
"pJNK_N";"S/C";"Ts65Dn";"Memantine";0.341439;0.269356;0.385703
"pJNK_N";"S/C";"Ts65Dn";"Saline";0.318415;0.195202;0.404111
"PKCA_N";"C/S";"Control";"Memantine";0.346937;0.273253;0.406562
"PKCA_N";"C/S";"Control";"Saline";0.340429;0.194728;0.438702
"PKCA_N";"C/S";"Ts65Dn";"Memantine";0.336584;0.210245;0.437875
"PKCA_N";"C/S";"Ts65Dn";"Saline";0.311476;0.232585;0.473992
"PKCA_N";"S/C";"Control";"Memantine";0.277748;0.196383;0.340328
"PKCA_N";"S/C";"Control";"Saline";0.288324;0.213994;0.334848
"PKCA_N";"S/C";"Ts65Dn";"Memantine";0.301122;0.2538;0.350503
"PKCA_N";"S/C";"Ts65Dn";"Saline";0.324945;0.197984;0.463806
"pMEK_N";"C/S";"Control";"Memantine";0.261426;0.189935;0.335797
"pMEK_N";"C/S";"Control";"Saline";0.235513;0.146455;0.317579
"pMEK_N";"C/S";"Ts65Dn";"Memantine";0.255936;0.185295;0.335166
"pMEK_N";"C/S";"Ts65Dn";"Saline";0.242334;0.180595;0.318384
"pMEK_N";"S/C";"Control";"Memantine";0.264503;0.181978;0.351237
"pMEK_N";"S/C";"Control";"Saline";0.281416;0.223182;0.384708
"pMEK_N";"S/C";"Ts65Dn";"Memantine";0.297408;0.242003;0.352671
"pMEK_N";"S/C";"Ts65Dn";"Saline";0.290696;0.194251;0.416944
"pMTOR_N";"C/S";"Control";"Memantine";0.706394;0.604846;0.825192
"pMTOR_N";"C/S";"Control";"Saline";0.724292;0.530754;1.07804
"pMTOR_N";"C/S";"Ts65Dn";"Memantine";0.684879;0.510954;0.864393
"pMTOR_N";"C/S";"Ts65Dn";"Saline";0.623011;0.166579;1.12488
"pMTOR_N";"S/C";"Control";"Memantine";0.833289;0.608515;1.02187
"pMTOR_N";"S/C";"Control";"Saline";0.811348;0.56316;1.03616
"pMTOR_N";"S/C";"Ts65Dn";"Memantine";0.863209;0.715784;1.10531
"pMTOR_N";"S/C";"Ts65Dn";"Saline";0.731903;0.51065;1.00113
"pNR1_N";"C/S";"Control";"Memantine";0.820798;0.648649;1.09229
"pNR1_N";"C/S";"Control";"Saline";0.865513;0.585459;1.40817
"pNR1_N";"C/S";"Ts65Dn";"Memantine";0.804693;0.552172;1.09656
"pNR1_N";"C/S";"Ts65Dn";"Saline";0.766141;0.607593;1.01906
"pNR1_N";"S/C";"Control";"Memantine";0.796948;0.555858;1.04283
"pNR1_N";"S/C";"Control";"Saline";0.896086;0.664454;1.1609
"pNR1_N";"S/C";"Ts65Dn";"Memantine";0.868883;0.688623;1.09476
"pNR1_N";"S/C";"Ts65Dn";"Saline";0.794346;0.50016;1.04775
"pNR2A_N";"C/S";"Control";"Memantine";0.624697;0.410557;1.0993
"pNR2A_N";"C/S";"Control";"Saline";0.689587;0.386905;1.18482
"pNR2A_N";"C/S";"Ts65Dn";"Memantine";0.610716;0.281285;1.06107
"pNR2A_N";"C/S";"Ts65Dn";"Saline";0.633508;0.405902;1.16615
"pNR2A_N";"S/C";"Control";"Memantine";0.914077;0.521739;1.41275
"pNR2A_N";"S/C";"Control";"Saline";0.802011;0.502383;1.16847
"pNR2A_N";"S/C";"Ts65Dn";"Memantine";0.843688;0.618148;1.04897
"pNR2A_N";"S/C";"Ts65Dn";"Saline";0.689286;0.388145;1.03094
"pNR2B_N";"C/S";"Control";"Memantine";1.45944;1.07132;1.92528
"pNR2B_N";"C/S";"Control";"Saline";1.61895;1.04365;2.72397
"pNR2B_N";"C/S";"Ts65Dn";"Memantine";1.50179;0.947642;2.23563
"pNR2B_N";"C/S";"Ts65Dn";"Saline";1.52022;1.09249;2.01915
"pNR2B_N";"S/C";"Control";"Memantine";1.51327;1.00256;1.99105
"pNR2B_N";"S/C";"Control";"Saline";1.70246;1.17756;2.19727
"pNR2B_N";"S/C";"Ts65Dn";"Memantine";1.71629;1.27936;2.11678
"pNR2B_N";"S/C";"Ts65Dn";"Saline";1.43593;0.811981;2.0037
"pNUMB_N";"C/S";"Control";"Memantine";0.35283;0.309715;0.415675
"pNUMB_N";"C/S";"Control";"Saline";0.39291;0.274968;0.631052
"pNUMB_N";"C/S";"Ts65Dn";"Memantine";0.358386;0.265165;0.449909
"pNUMB_N";"C/S";"Ts65Dn";"Saline";0.352129;0.297049;0.424602
"pNUMB_N";"S/C";"Control";"Memantine";0.322362;0.247119;0.394396
"pNUMB_N";"S/C";"Control";"Saline";0.29012;0.21161;0.36558
"pNUMB_N";"S/C";"Ts65Dn";"Memantine";0.347901;0.294318;0.455083
"pNUMB_N";"S/C";"Ts65Dn";"Saline";0.352527;0.235239;0.496759
"pP70S6_N";"C/S";"Control";"Memantine";0.41287;0.248179;0.625451
"pP70S6_N";"C/S";"Control";"Saline";0.297185;0.152069;0.5585
"pP70S6_N";"C/S";"Ts65Dn";"Memantine";0.441993;0.153588;1.12917
"pP70S6_N";"C/S";"Ts65Dn";"Saline";0.287315;0.139845;0.570095
"pP70S6_N";"S/C";"Control";"Memantine";0.388672;0.268509;0.549355
"pP70S6_N";"S/C";"Control";"Saline";0.370519;0.214334;0.595278
"pP70S6_N";"S/C";"Ts65Dn";"Memantine";0.369946;0.321586;0.443013
"pP70S6_N";"S/C";"Ts65Dn";"Saline";0.534727;0.35841;0.82226
"pPKCAB_N";"C/S";"Control";"Memantine";1.92152;1.46547;2.47785
"pPKCAB_N";"C/S";"Control";"Saline";2.0032;0.903061;2.61883
"pPKCAB_N";"C/S";"Ts65Dn";"Memantine";1.86795;0.69181;2.93241
"pPKCAB_N";"C/S";"Ts65Dn";"Saline";1.84174;1.05922;2.71715
"pPKCAB_N";"S/C";"Control";"Memantine";1.11341;0.792734;1.50858
"pPKCAB_N";"S/C";"Control";"Saline";1.19128;0.837915;1.45464
"pPKCAB_N";"S/C";"Ts65Dn";"Memantine";1.17604;0.884002;1.50891
"pPKCAB_N";"S/C";"Ts65Dn";"Saline";1.53742;0.862854;2.57534
"pPKCG_N";"C/S";"Control";"Memantine";1.99076;1.43946;2.5332
"pPKCG_N";"C/S";"Control";"Saline";1.67796;0.617325;2.34244
"pPKCG_N";"C/S";"Ts65Dn";"Memantine";1.84357;0.598767;3.38198
"pPKCG_N";"C/S";"Ts65Dn";"Saline";1.91343;0.680027;3.27154
"pPKCG_N";"S/C";"Control";"Memantine";1.54972;1.08009;1.96596
"pPKCG_N";"S/C";"Control";"Saline";1.27641;0.963361;1.58029
"pPKCG_N";"S/C";"Ts65Dn";"Memantine";1.54674;1.26657;1.73049
"pPKCG_N";"S/C";"Ts65Dn";"Saline";2.39378;1.9653;2.89956
"pRSK_N";"C/S";"Control";"Memantine";0.473565;0.402982;0.550578
"pRSK_N";"C/S";"Control";"Saline";0.429557;0.25411;0.55394
"pRSK_N";"C/S";"Ts65Dn";"Memantine";0.483846;0.311968;0.650962
"pRSK_N";"C/S";"Ts65Dn";"Saline";0.4173;0.308614;0.579099
"pRSK_N";"S/C";"Control";"Memantine";0.433686;0.334027;0.545492
"pRSK_N";"S/C";"Control";"Saline";0.424918;0.35563;0.480875
"pRSK_N";"S/C";"Ts65Dn";"Memantine";0.44041;0.360894;0.538888
"pRSK_N";"S/C";"Ts65Dn";"Saline";0.486797;0.351121;0.633607
"pS6_N";"C/S";"Control";"Memantine";0.110668;0.0672543;0.139008
"pS6_N";"C/S";"Control";"Saline";0.114075;0.093705;0.140973
"pS6_N";"C/S";"Ts65Dn";"Memantine";0.106838;0.0902428;0.120738
"pS6_N";"C/S";"Ts65Dn";"Saline";0.109861;0.0837982;0.130925
"pS6_N";"S/C";"Control";"Memantine";0.126837;0.113991;0.145596
"pS6_N";"S/C";"Control";"Saline";0.131636;0.115571;0.153798
"pS6_N";"S/C";"Ts65Dn";"Memantine";0.139394;0.125589;0.151651
"pS6_N";"S/C";"Ts65Dn";"Saline";0.121657;0.0987304;0.149004
"PSD95_N";"C/S";"Control";"Memantine";2.0859;1.32195;2.43732
"PSD95_N";"C/S";"Control";"Saline";2.1101;1.56446;2.7389
"PSD95_N";"C/S";"Ts65Dn";"Memantine";2.12255;1.68765;2.52884
"PSD95_N";"C/S";"Ts65Dn";"Saline";2.18038;1.51178;2.56021
"PSD95_N";"S/C";"Control";"Memantine";2.32774;1.80807;2.83073
"PSD95_N";"S/C";"Control";"Saline";2.33476;1.91687;2.63783
"PSD95_N";"S/C";"Ts65Dn";"Memantine";2.41794;1.86079;2.87787
"PSD95_N";"S/C";"Ts65Dn";"Saline";2.23513;1.87431;2.60977
"RAPTOR_N";"C/S";"Control";"Memantine";0.297879;0.246296;0.34141
"RAPTOR_N";"C/S";"Control";"Saline";0.304672;0.229668;0.467812
"RAPTOR_N";"C/S";"Ts65Dn";"Memantine";0.292283;0.233226;0.366994
"RAPTOR_N";"C/S";"Ts65Dn";"Saline";0.262432;0.228502;0.317991
"RAPTOR_N";"S/C";"Control";"Memantine";0.315798;0.253361;0.435
"RAPTOR_N";"S/C";"Control";"Saline";0.30912;0.207014;0.409378
"RAPTOR_N";"S/C";"Ts65Dn";"Memantine";0.325136;0.277448;0.390061
"RAPTOR_N";"S/C";"Ts65Dn";"Saline";0.320204;0.215951;0.441319
"RRP1_N";"C/S";"Control";"Memantine";0.149606;0.128169;0.176381
"RRP1_N";"C/S";"Control";"Saline";0.165981;0.132836;0.202782
"RRP1_N";"C/S";"Ts65Dn";"Memantine";0.159812;0.135549;0.219189
"RRP1_N";"C/S";"Ts65Dn";"Saline";0.165597;0.13351;0.428559
"RRP1_N";"S/C";"Control";"Memantine";0.157739;0.118973;0.207217
"RRP1_N";"S/C";"Control";"Saline";0.155551;0.124665;0.612377
"RRP1_N";"S/C";"Ts65Dn";"Memantine";0.165062;0.12838;0.352114
"RRP1_N";"S/C";"Ts65Dn";"Saline";0.175368;0.151096;0.212094
"RSK_N";"C/S";"Control";"Memantine";0.157471;0.122209;0.208229
"RSK_N";"C/S";"Control";"Saline";0.15061;0.118481;0.198068
"RSK_N";"C/S";"Ts65Dn";"Memantine";0.163837;0.117776;0.212197
"RSK_N";"C/S";"Ts65Dn";"Saline";0.154234;0.112854;0.195556
"RSK_N";"S/C";"Control";"Memantine";0.147899;0.107394;0.221354
"RSK_N";"S/C";"Control";"Saline";0.174814;0.139154;0.241505
"RSK_N";"S/C";"Ts65Dn";"Memantine";0.173947;0.126684;0.226369
"RSK_N";"S/C";"Ts65Dn";"Saline";0.165226;0.118193;0.215127
"S6_N";"C/S";"Control";"Memantine";0.430551;0.226274;0.623013
"S6_N";"C/S";"Control";"Saline";0.443723;0.245158;0.74582
"S6_N";"C/S";"Ts65Dn";"Memantine";0.506374;0.320961;0.754126
"S6_N";"C/S";"Ts65Dn";"Saline";0.58008;0.414077;0.822611
"S6_N";"S/C";"Control";"Memantine";0.318318;0.218257;0.491439
"S6_N";"S/C";"Control";"Saline";0.297581;0.186893;0.409281
"S6_N";"S/C";"Ts65Dn";"Memantine";0.439172;0.267148;0.646433
"S6_N";"S/C";"Ts65Dn";"Saline";0.528161;0.253707;0.758313
"SHH_N";"C/S";"Control";"Memantine";0.225131;0.162642;0.279612
"SHH_N";"C/S";"Control";"Saline";0.213971;0.174797;0.257745
"SHH_N";"C/S";"Ts65Dn";"Memantine";0.213607;0.169803;0.258695
"SHH_N";"C/S";"Ts65Dn";"Saline";0.219808;0.155869;0.277908
"SHH_N";"S/C";"Control";"Memantine";0.225026;0.188694;0.296841
"SHH_N";"S/C";"Control";"Saline";0.234657;0.190568;0.308873
"SHH_N";"S/C";"Ts65Dn";"Memantine";0.248184;0.186952;0.358289
"SHH_N";"S/C";"Ts65Dn";"Saline";0.239848;0.19449;0.306701
"SNCA_N";"C/S";"Control";"Memantine";0.138517;0.108196;0.181701
"SNCA_N";"C/S";"Control";"Saline";0.145868;0.124105;0.175903
"SNCA_N";"C/S";"Ts65Dn";"Memantine";0.136597;0.112478;0.170385
"SNCA_N";"C/S";"Ts65Dn";"Saline";0.148594;0.116703;0.180287
"SNCA_N";"S/C";"Control";"Memantine";0.176279;0.130132;0.231542
"SNCA_N";"S/C";"Control";"Saline";0.171129;0.137404;0.242969
"SNCA_N";"S/C";"Ts65Dn";"Memantine";0.177643;0.145958;0.219037
"SNCA_N";"S/C";"Ts65Dn";"Saline";0.158358;0.129571;0.195418
"SOD1_N";"C/S";"Control";"Memantine";0.313217;0.249394;0.373966
"SOD1_N";"C/S";"Control";"Saline";0.298472;0.21712;0.4033
"SOD1_N";"C/S";"Ts65Dn";"Memantine";0.313755;0.23394;0.40866
"SOD1_N";"C/S";"Ts65Dn";"Saline";0.309693;0.269268;0.408753
"SOD1_N";"S/C";"Control";"Memantine";0.616188;0.401889;0.806191
"SOD1_N";"S/C";"Control";"Saline";0.917957;0.5349;1.43293
"SOD1_N";"S/C";"Ts65Dn";"Memantine";0.778964;0.514658;1.46667
"SOD1_N";"S/C";"Ts65Dn";"Saline";0.731023;0.384147;1.61052
"SYP_N";"C/S";"Control";"Memantine";0.420795;0.260146;0.486912
"SYP_N";"C/S";"Control";"Saline";0.46766;0.338852;0.759588
"SYP_N";"C/S";"Ts65Dn";"Memantine";0.417041;0.280925;0.552596
"SYP_N";"C/S";"Ts65Dn";"Saline";0.435093;0.284262;0.603543
"SYP_N";"S/C";"Control";"Memantine";0.43487;0.325009;0.521422
"SYP_N";"S/C";"Control";"Saline";0.465066;0.339993;0.605389
"SYP_N";"S/C";"Ts65Dn";"Memantine";0.448307;0.347437;0.544406
"SYP_N";"S/C";"Ts65Dn";"Saline";0.448159;0.319216;0.636279
"Tau_N";"C/S";"Control";"Memantine";0.167708;0.0962328;0.212025
"Tau_N";"C/S";"Control";"Saline";0.167188;0.130876;0.269517
"Tau_N";"C/S";"Ts65Dn";"Memantine";0.199787;0.138494;0.27961
"Tau_N";"C/S";"Ts65Dn";"Saline";0.226521;0.138178;0.334268
"Tau_N";"S/C";"Control";"Memantine";0.172958;0.142918;0.209887
"Tau_N";"S/C";"Control";"Saline";0.165954;0.127315;0.189606
"Tau_N";"S/C";"Ts65Dn";"Memantine";0.265789;0.136715;0.513706
"Tau_N";"S/C";"Ts65Dn";"Saline";0.269212;0.149066;0.4142
"TIAM1_N";"C/S";"Control";"Memantine";0.389062;0.320802;0.482864
"TIAM1_N";"C/S";"Control";"Saline";0.415178;0.312085;0.697187
"TIAM1_N";"C/S";"Ts65Dn";"Memantine";0.406054;0.332343;0.564126
"TIAM1_N";"C/S";"Ts65Dn";"Saline";0.396466;0.315566;0.508282
"TIAM1_N";"S/C";"Control";"Memantine";0.405948;0.293694;0.530645
"TIAM1_N";"S/C";"Control";"Saline";0.397135;0.259278;0.510476
"TIAM1_N";"S/C";"Ts65Dn";"Memantine";0.447263;0.361745;0.556968
"TIAM1_N";"S/C";"Ts65Dn";"Saline";0.439218;0.292788;0.622595
"TRKA_N";"C/S";"Control";"Memantine";0.694979;0.469407;0.906234
"TRKA_N";"C/S";"Control";"Saline";0.686929;0.38733;1.00162
"TRKA_N";"C/S";"Ts65Dn";"Memantine";0.69954;0.379804;0.98001
"TRKA_N";"C/S";"Ts65Dn";"Saline";0.709642;0.455185;0.979509
"TRKA_N";"S/C";"Control";"Memantine";0.588495;0.352593;0.762375
"TRKA_N";"S/C";"Control";"Saline";0.693321;0.473943;0.908182
"TRKA_N";"S/C";"Ts65Dn";"Memantine";0.709521;0.468475;0.900635
"TRKA_N";"S/C";"Ts65Dn";"Saline";0.698771;0.380323;0.940641
"Ubiquitin_N";"C/S";"Control";"Memantine";1.0765;0.750664;1.25073
"Ubiquitin_N";"C/S";"Control";"Saline";1.07818;0.832119;1.3077
"Ubiquitin_N";"C/S";"Ts65Dn";"Memantine";1.10525;0.863238;1.3638
"Ubiquitin_N";"C/S";"Ts65Dn";"Saline";1.1709;0.83081;1.40454
"Ubiquitin_N";"S/C";"Control";"Memantine";1.32972;1.07669;1.5407
"Ubiquitin_N";"S/C";"Control";"Saline";1.267;1.03579;1.45097
"Ubiquitin_N";"S/C";"Ts65Dn";"Memantine";1.4322;1.27134;1.8972
"Ubiquitin_N";"S/C";"Ts65Dn";"Saline";1.28191;1.08098;1.60149
